client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
	part_1_S01_P01.mp3	Alright, so um.
	part_2_S01_P01.mp3	Okay, let's try cooking. 
	part_3_S01_P01.mp3	Yeah, I'm hungry. Okay, so we have this one box or one fry pan, um, we have ground beef, and we bought that super easy taco mix.
	part_4_S01_P01.mp3	The taco mix?
	part_5_S01_P01.mp3	Oh, I love these.
	part_6_S01_P01.mp3	Great.
	part_7_S01_P01.mp3	Okay.
	part_8_S01_P01.mp3	We could probably put these on the pan, too, if we wanted to warm them up a bit.
	part_9_S01_P01.mp3	Yeah. Maybe we can do that after?
	part_10_S01_P01.mp3	After the beef?
	part_11_S01_P01.mp3	So maybe someone can help cook or cut tomatoes or something? Or like dice them? I don't know who's good at dicing and, uh.
	part_12_S01_P01.mp3	Mhm.
	part_13_S01_P01.mp3	Mhm.
	part_14_S01_P01.mp3	Sure.
	part_15_S01_P01.mp3	Mhm.
	part_16_S01_P01.mp3	
	part_17_S01_P01.mp3	Do we have the oven set up? I guess we don't have an oven, so
	part_18_S01_P01.mp3	Yeah, this does have fire stove. Yeah, it's gonna work. It's work- 
	part_19_S01_P01.mp3	Okay.
	part_20_S01_P01.mp3	You wanna heat the taco shells though, right?
	part_21_S01_P01.mp3	Korean barbecue.
	part_22_S01_P01.mp3	Yeah. Heat the taco shells, yeah.
	part_23_S01_P01.mp3	Mexican style.
	part_24_S01_P01.mp3	Yeah. Okay.
	part_25_S01_P01.mp3	I guess we can do that. But maybe we can heat it up at the end, after we get all the beef and stuff?
	part_26_S01_P01.mp3	Cutting board.
	part_27_S01_P01.mp3	Sure.
	part_28_S01_P01.mp3	Oh, and we do have snacks. Maybe if you wanna put that on the table? If people wanna munch on stuff? Where's the chips? Oh.
	part_29_S01_P01.mp3	Mmm. Sure.
	part_30_S01_P01.mp3	Oh, I should just
	part_31_S01_P01.mp3	Yeah, do we?
	part_32_S01_P01.mp3	Here.
	part_33_S01_P01.mp3	Can we find a bowl for this?
	part_34_S01_P01.mp3	Yeah. Oh there's salsa there, too.
	part_35_S01_P01.mp3	Where's a knife?
	part_36_S01_P01.mp3	There are
	part_37_S01_P01.mp3	There's probably a bowl somewhere
	part_38_S01_P01.mp3	Bowls
	part_39_S01_P01.mp3	Mhm. Do you want me to put the guacamole in here?
	part_40_S01_P01.mp3	Oh. Yeah, we can put small bowls for. Oh, and salsa is right there, too. Yeah.
	part_41_S01_P01.mp3	And one for salsa?
	part_42_S01_P01.mp3	Okay.
	part_43_S01_P01.mp3	Hmm. And there's spoon
	part_44_S01_P01.mp3	Thank you.
	part_45_S01_P01.mp3	Is that someone's phone?
	part_46_S01_P01.mp3	Mhm.
	part_47_S01_P01.mp3	Oh that's the fridge. 
	part_48_S01_P01.mp3	 
	part_49_S01_P01.mp3	
	part_50_S01_P01.mp3	This fridge is
	part_51_S01_P01.mp3	Okay, I'm gonna use this side.
	part_52_S01_P01.mp3	Oh here's another one, too.
	part_53_S01_P01.mp3	Okay.
